Partition_Key, Row_Key, Apparent_Temperature, Cloud_Cover, Dew_Point, Humidity, Icon, Local_Time, Ozone, Precip_Accumulation, Precip_Intensity, Precip_Probability, Precip_Type, Pressure, Summary, Temperature, UTC_Time, Visibility, Wind_Bearing, Wind_Speed
CYYZ,13/11/2017 5:00,3.06,0.62,0.54,0.84,partly-cloudy-night,11/13/2017 00:00,299.86,0,0.4547,0.83,rain,1027.77,Mostly Cloudy,3.06,11/13/2017 05:00,11.76,309,2.29
CYYZ,13/11/2017 6:00,2.83,0.75,0.78,0.86,partly-cloudy-night,11/13/2017 01:00,303.05,0,0.4039,0.62,rain,1027.43,Mostly Cloudy,2.83,11/13/2017 06:00,10.75,343,1.45
CYYZ,13/11/2017 7:00,2.72,0.7,0.98,0.88,partly-cloudy-night,11/13/2017 02:00,303.97,0,0.4343,0.8,rain,1027.3,Mostly Cloudy,2.72,11/13/2017 07:00,9.53,15,1.01
CYYZ,13/11/2017 8:00,2.64,0.75,1.2,0.9,partly-cloudy-night,11/13/2017 03:00,304.49,0,0.4013,0.71,rain,1027.18,Mostly Cloudy,2.64,11/13/2017 08:00,10.35,339,3.07
CYYZ,13/11/2017 9:00,2.59,0.71,0.88,0.88,partly-cloudy-night,11/13/2017 04:00,304.08,0,0.0864,0.36,rain,1027.28,Mostly Cloudy,2.59,11/13/2017 09:00,13.73,44,2.49
CYYZ,13/11/2017 10:00,2.69,0.85,1.01,0.89,partly-cloudy-night,11/13/2017 05:00,301.99,0,0.033,0.15,rain,1027.39,Mostly Cloudy,2.69,11/13/2017 10:00,14.08,41,2.69
CYYZ,13/11/2017 11:00,2.74,0.85,1.06,0.89,partly-cloudy-night,11/13/2017 06:00,298.88,0,0.0051,0.03,rain,1027.64,Mostly Cloudy,2.74,11/13/2017 11:00,13.74,39,2.2
CYYZ,13/11/2017 12:00,2.78,0.87,1.24,0.9,partly-cloudy-night,11/13/2017 07:00,297.51,0,0.0533,0.18,rain,1027.66,Mostly Cloudy,2.78,11/13/2017 12:00,12.31,351,1.98
CYYZ,13/11/2017 13:00,3.06,0.87,1.35,0.89,partly-cloudy-day,11/13/2017 08:00,294.79,0,0.0737,0.19,rain,1028.19,Mostly Cloudy,3.06,11/13/2017 13:00,14.08,342,1.95
CYYZ,13/11/2017 14:00,3.4,0.87,1.89,0.9,partly-cloudy-day,11/13/2017 09:00,292.02,0,0.0203,0.09,rain,1028.44,Mostly Cloudy,3.4,11/13/2017 14:00,14.08,333,1.79
