Partition_Key, Row_Key, Apparent_Temperature, Cloud_Cover, Dew_Point, Humidity, Icon, Local_Time, Ozone, Precip_Accumulation, Precip_Intensity, Precip_Probability, Precip_Type, Pressure, Summary, Temperature, UTC_Time, Visibility, Wind_Bearing, Wind_Speed
CYYZ,29/10/2017 4:00,4.85,0.28,0.78,0.75,partly-cloudy-night,10/29/2017 00:00,285.68,0,0,0,rain,1011.52,Partly Cloudy,4.85,10/29/2017 04:00,16.09,265,4.67
CYYZ,29/10/2017 5:00,4.9,0.3,1.04,0.76,partly-cloudy-night,10/29/2017 01:00,286.23,0,0,0,rain,1011.61,Partly Cloudy,4.9,10/29/2017 05:00,16.09,273,3.91
CYYZ,29/10/2017 6:00,4.77,0.45,1.32,0.78,partly-cloudy-night,10/29/2017 02:00,286.37,0,0,0,rain,1011.08,Partly Cloudy,4.77,10/29/2017 06:00,16.09,297,2.14
CYYZ,29/10/2017 7:00,4.82,0.88,1.49,0.79,partly-cloudy-night,10/29/2017 03:00,285.73,0,0,0,rain,1010.92,Mostly Cloudy,4.82,10/29/2017 07:00,16.09,312,2.9
CYYZ,29/10/2017 8:00,4.85,0.81,1.57,0.79,partly-cloudy-night,10/29/2017 04:00,284.9,0,0,0,rain,1010.63,Mostly Cloudy,4.85,10/29/2017 08:00,16.09,327,3.49
CYYZ,29/10/2017 9:00,5.15,0.79,1.73,0.79,partly-cloudy-night,10/29/2017 05:00,284.56,0,0,0,rain,1010.64,Mostly Cloudy,5.15,10/29/2017 09:00,16.09,336,4.57
CYYZ,29/10/2017 10:00,5.39,0.82,1.78,0.78,partly-cloudy-night,10/29/2017 06:00,285.21,0,0,0,rain,1010.59,Mostly Cloudy,5.39,10/29/2017 10:00,16.09,1,2.59
CYYZ,29/10/2017 11:00,5.59,0.9,2.08,0.78,partly-cloudy-night,10/29/2017 07:00,286.47,0,0,0,rain,1010.21,Mostly Cloudy,5.59,10/29/2017 11:00,16.09,331,2.8
CYYZ,29/10/2017 12:00,5.7,0.98,2.33,0.79,cloudy,10/29/2017 08:00,287.34,0,0,0,rain,1010.15,Overcast,5.7,10/29/2017 12:00,16.09,1,1.5
CYYZ,29/10/2017 13:00,5.84,0.97,2.27,0.78,cloudy,10/29/2017 09:00,286.67,0,0,0,rain,1009.94,Overcast,5.84,10/29/2017 13:00,16.09,25,1.66
CYYZ,29/10/2017 14:00,6.24,0.91,2.53,0.77,partly-cloudy-day,10/29/2017 10:00,287.22,0,0.0102,0.03,rain,1010.12,Mostly Cloudy,6.24,10/29/2017 14:00,16.09,72,2.9
CYYZ,29/10/2017 15:00,5.97,0.92,2.64,0.76,partly-cloudy-day,10/29/2017 11:00,287.39,0,0.0203,0.05,rain,1009.9,Mostly Cloudy,6.62,10/29/2017 15:00,16.09,63,4.89
CYYZ,29/10/2017 16:00,7.7,0.61,3.16,0.73,rain,10/29/2017 12:00,286.99,0,1.1811,0.09,rain,1008.66,Possible Light Rain,7.7,10/29/2017 16:00,16.09,54,4.22
CYYZ,29/10/2017 17:00,7.98,0.22,2.83,0.7,rain,10/29/2017 13:00,286.18,0,1.7755,0.1,rain,1007.85,Rain,7.98,10/29/2017 17:00,16.09,67,2.38
CYYZ,29/10/2017 18:00,8.02,0.18,2.68,0.69,rain,10/29/2017 14:00,285.14,0,1.0287,0.09,rain,1007.3,Possible Light Rain,8.02,10/29/2017 18:00,16.09,75,3.09
CYYZ,29/10/2017 19:00,8.19,0.22,2.47,0.67,rain,10/29/2017 15:00,286.07,0,0.701,0.09,rain,1006.23,Possible Light Rain,8.19,10/29/2017 19:00,16.09,352,2.96
CYYZ,29/10/2017 20:00,8.04,0.22,1.86,0.63,clear-day,10/29/2017 16:00,287.33,0,0.4902,0.12,rain,1006.15,Clear,8.46,10/29/2017 20:00,16.09,15,4.92
CYYZ,29/10/2017 21:00,8.6,0.14,1.86,0.63,clear-day,10/29/2017 17:00,287.99,0,0.2616,0.12,rain,1005.34,Clear,8.6,10/29/2017 21:00,16.09,7,4.73
CYYZ,29/10/2017 22:00,6.93,0.55,1.5,0.64,partly-cloudy-day,10/29/2017 18:00,287.25,0,0.2184,0.14,rain,1004.98,Partly Cloudy,7.96,10/29/2017 22:00,16.09,2,6.76
CYYZ,29/10/2017 23:00,7.12,0.77,2.21,0.67,partly-cloudy-night,10/29/2017 19:00,285.87,0,0.1168,0.13,rain,1004.55,Mostly Cloudy,7.99,10/29/2017 23:00,16.09,347,6.23
CYYZ,30/10/2017 0:00,6.54,0.87,2.62,0.7,partly-cloudy-night,10/29/2017 20:00,288.55,0,0.0533,0.13,rain,1003.41,Mostly Cloudy,7.66,10/30/2017 00:00,16.09,337,6.94
CYYZ,30/10/2017 1:00,7.61,0.63,2.93,0.72,partly-cloudy-night,10/29/2017 21:00,288.53,0,0.0152,0.09,rain,1002.57,Mostly Cloudy,7.61,10/30/2017 01:00,16.09,347,4.18
CYYZ,30/10/2017 2:00,5.72,0.26,2.83,0.74,partly-cloudy-night,10/29/2017 22:00,288.94,0,0,0,rain,1001.46,Partly Cloudy,7.19,10/30/2017 02:00,16.09,324,8.01
CYYZ,30/10/2017 3:00,5.36,0.73,2.88,0.76,partly-cloudy-night,10/29/2017 23:00,289.24,0,0,0,rain,1000.01,Mostly Cloudy,6.89,10/30/2017 03:00,16.09,314,8.01
CYYZ,30/10/2017 4:00,5.26,0.79,3.42,0.78,partly-cloudy-night,10/30/2017 00:00,289.4,0,0,0,rain,999.1,Mostly Cloudy,6.96,10/30/2017 04:00,16.09,322,8.79
CYYZ,30/10/2017 5:00,5.22,0.75,3.66,0.8,partly-cloudy-night,10/30/2017 01:00,289.51,0,0,0,rain,996.9,Mostly Cloudy,6.93,10/30/2017 05:00,16.09,326,8.84
CYYZ,30/10/2017 6:00,5.1,0.55,3.48,0.78,partly-cloudy-night,10/30/2017 02:00,291.22,0,0,0,rain,995.43,Partly Cloudy,6.99,10/30/2017 06:00,16.09,315,9.77
CYYZ,30/10/2017 7:00,5.22,0.28,2.97,0.75,partly-cloudy-night,10/30/2017 03:00,292.17,0,0,0,rain,994.58,Partly Cloudy,7.06,10/30/2017 07:00,16.09,324,9.54
CYYZ,30/10/2017 8:00,5.18,0.3,3.14,0.75,partly-cloudy-night,10/30/2017 04:00,293.47,0,0,0,rain,994.14,Partly Cloudy,7.2,10/30/2017 08:00,16.09,325,10.62
CYYZ,30/10/2017 9:00,4.82,0.62,1.51,0.69,partly-cloudy-night,10/30/2017 05:00,294.6,0,0,0,rain,994.23,Mostly Cloudy,6.72,10/30/2017 09:00,15.98,307,9.51
CYYZ,30/10/2017 10:00,4.69,0.28,0.89,0.67,partly-cloudy-night,10/30/2017 06:00,295.96,0,0.0025,0.04,rain,994.81,Partly Cloudy,6.62,10/30/2017 10:00,16.09,312,9.56
CYYZ,30/10/2017 11:00,4.25,0.22,1.13,0.71,clear-night,10/30/2017 07:00,297.46,0,0.0102,0.02,rain,995.06,Clear,5.99,10/30/2017 11:00,16.09,292,8.24
CYYZ,30/10/2017 12:00,3.83,0.55,1.24,0.72,partly-cloudy-day,10/30/2017 08:00,297.94,0,0.0025,0.02,rain,995.75,Partly Cloudy,5.94,10/30/2017 12:00,16.09,286,9.9
