"","Apparent_Temperature","Cloud_Cover","Dew_Point","Humidity","Pressure","Temperature","Visibility","Wind_Speed","Day_of_week","Hr_of_day","Demand"
"1998",-3.34,0.96,-8.54,0.67,1022.61,-3.34,16.09,3.23,"wkday","05",15289
"1999",-5.61,0.93,-9.02,0.66,1022.8,-3.63,16.09,4.84,"wkday","06",16598
"2000",-4.07,0.98,-9.26,0.67,1023.71,-4.07,16.09,4.72,"wkday","07",18109
"2001",-6.53,0.96,-9.68,0.66,1024,-4.32,16.09,5.12,"wkday","08",18153
"2002",-6.29,0.67,-9.69,0.65,1024.61,-4.16,16.09,5.02,"wkday","09",18042
"2003",-6.23,0.63,-9.58,0.66,1025.13,-4.13,16.09,4.92,"wkday","10",17863
"2004",-6.07,0.62,-9.12,0.67,1025.31,-3.86,16.09,5.25,"wkday","11",17674
"2005",-6.18,0.63,-8.65,0.67,1024.11,-3.52,16.09,6.31,"wkday","12",17517
"2006",-3.22,0.81,-8.17,0.69,1024.13,-3.22,16.09,4.28,"wkday","13",17591
"2007",-5.23,0.94,-7.65,0.7,1023.67,-2.88,16.09,5.79,"wkday","14",17718
"2008",-5.07,0.92,-7.27,0.72,1024.35,-2.94,16.09,5.33,"wkday","15",18029
"2009",-5.72,0.77,-7.38,0.72,1024.42,-3.01,16.09,6.6,"wkday","16",18867
"2010",-6.03,0.7,-7.41,0.72,1024.87,-3.09,16.09,7.15,"wkday","17",19574
"2011",-6.52,0.37,-7.38,0.72,1024.76,-3.08,16.09,8.56,"wkday","18",19340
"2012",-6.38,0.72,-6.2,0.78,1024.67,-2.87,16.09,8.88,"wkday","19",19096
"2013",-6.32,0.94,-5.53,0.81,1024.29,-2.78,10.88,9.03,"wkday","20",18824
"2014",-4.82,0.94,-5.25,0.83,1023.66,-2.7,11.06,5.39,"wkday","21",18450
"2015",-7.06,0.8,-5.28,0.87,1023.65,-3.37,3.19,9.14,"wkday","22",17235
"2016",-3.38,0.84,-4.76,0.9,1023.22,-3.38,2.38,4.33,"wkday","23",16059
"2017",-3.21,0.84,-4.43,0.91,1022.65,-3.21,2.38,4.46,"wkday","00",15040
"2018",-5.26,0.8,-4.69,0.9,1022.44,-3.32,4.26,4.86,"wkday","01",14466
"2019",-3.71,0.77,-5.02,0.91,1021.73,-3.71,2.62,4.7,"wkday","02",14165
"2020",-3.48,0.8,-4.7,0.91,1020.9,-3.48,2.57,4.18,"wkday","03",14065
"2021",-5.19,0.84,-4.19,0.91,1020.03,-2.95,3.14,5.55,"wkday","04",14230
"2022",-5.73,1,-4.58,0.91,1019.03,-3.28,2.86,5.89,"wkday","05",14964
"2023",-7.36,0.94,-5.24,0.91,1018.69,-3.95,4.02,8,"wkday","06",16203
"2024",-7.93,0.98,-5.59,0.89,1018.81,-3.99,4.47,9.56,"wkday","07",17356
"2025",-9.05,0.96,-6.56,0.89,1018.42,-4.97,4.22,9.41,"wkday","08",17867
"2026",-9.22,0.75,-7.13,0.88,1018.77,-5.51,3.44,8.11,"wkday","09",18014
"2027",-9.93,0.45,-7.02,0.88,1018.79,-5.33,5.65,10.91,"wkday","10",18218
"2028",-8.16,0.84,-7.1,0.86,1018.74,-5.08,6.63,6.69,"wkday","11",18163
"2029",-7.62,0.91,-7.06,0.85,1018.26,-4.93,11.36,5.89,"wkday","12",18015
"2030",-8.74,0.97,-6.96,0.85,1017.86,-4.81,13.04,9.06,"wkday","13",17947
"2031",-7.88,0.92,-6.85,0.84,1017.8,-4.58,15.03,7.42,"wkday","14",17815
"2032",-7.66,0.97,-6.91,0.83,1017.95,-4.48,14.73,7.16,"wkday","15",17798
"2033",-6.89,1,-6.9,0.82,1017.83,-4.38,14.9,5.7,"wkday","16",18452
"2034",-6.72,1,-6.88,0.83,1018.83,-4.44,15.69,5.2,"wkday","17",19278
"2035",-4.52,1,-6.49,0.86,1018.86,-4.52,11.38,4.81,"wkday","18",18992
"2036",-4.6,0.95,-6.72,0.85,1019.06,-4.6,16.09,4.09,"wkday","19",18705
"2037",-6.8,0.97,-6.62,0.86,1018.59,-4.6,16.09,5.04,"wkday","20",18302
"2038",-6.79,1,-6.4,0.86,1018.21,-4.48,16.09,5.28,"wkday","21",17686
"2039",-4.21,1,-6.01,0.87,1017.86,-4.21,15.02,4.25,"wkday","22",16676
"2040",-6.06,1,-5.4,0.89,1017.29,-3.79,14.29,5.36,"wkday","23",15653
"2041",-6.24,1,-4.89,0.9,1016.98,-3.53,7.84,6.41,"wknd","00",14863
"2042",-6.2,1,-4.61,0.92,1016.6,-3.53,4.44,6.31,"wknd","01",14383
"2043",-6.23,1,-4.94,0.92,1016.17,-3.9,6.41,5.46,"wknd","02",14146
"2044",-6.96,1,-5.21,0.92,1016.08,-4.16,5.55,6.39,"wknd","03",14019
"2045",-4.54,1,-5.47,0.93,1015.16,-4.54,4.65,4.67,"wknd","04",13955
"2046",-4.67,1,-5.62,0.93,1014.25,-4.67,4.67,3.67,"wknd","05",14124
"2047",-4.56,1,-5.62,0.92,1014.23,-4.56,6.26,1.19,"wknd","06",14510
"2048",-4.47,1,-5.59,0.92,1013.49,-4.47,8.77,3.03,"wknd","07",15210
"2049",-4.03,1,-5.34,0.91,1013.17,-4.03,10.09,3.86,"wknd","08",15980
"2050",-3.77,0.8,-5.18,0.9,1012.56,-3.77,6.34,3.75,"wknd","09",16715
"2051",-3.47,0.8,-4.63,0.92,1012.48,-3.47,2.04,2.72,"wknd","10",17165
"2052",-2.84,1,-4.22,0.9,1011.48,-2.84,1.69,2.72,"wknd","11",17422
"2053",-2.12,0.51,-3.22,0.92,1010.75,-2.12,1.32,1.96,"wknd","12",17323
"2054",-1.31,0.78,-2.54,0.91,1010.18,-1.31,5.68,2.11,"wknd","13",16923
"2055",-0.6,0.67,-1.95,0.91,1010.32,-0.6,6.79,2.88,"wknd","14",16731
"2056",-0.21,0.3,-1.62,0.9,1011.11,-0.21,7.77,2.99,"wknd","15",16524
"2057",0.13,0.56,-1.37,0.9,1011.8,0.13,9.45,4.06,"wknd","16",17007
"2058",-2.49,0.07,-2.64,0.83,1013,-0.07,16.09,7.07,"wknd","17",17954
"2059",-2.86,0.06,-3.89,0.8,1013.89,-0.93,16.09,5.5,"wknd","18",17907
"2060",-1.43,0.29,-4.65,0.79,1015.54,-1.43,16.09,4.39,"wknd","19",17549
"2061",-3.65,0.75,-4.45,0.77,1016.65,-0.86,16.09,7.77,"wknd","20",17196
"2062",-4.17,0.79,-4.92,0.75,1017.81,-1.02,16.09,8.82,"wknd","21",16668
"2063",-4.04,0.77,-4.88,0.75,1018.95,-1.11,16.09,8.1,"wknd","22",15918
"2064",-3.72,0.73,-4.6,0.77,1019.86,-1.17,16.09,6.94,"wknd","23",14936
"2065",-1.73,0.7,-5.04,0.78,1020.09,-1.73,16.09,2.37,"wknd","00",14266
"2066",-2.37,0.77,-5.14,0.81,1020.29,-2.37,16.09,2.78,"wknd","01",13529
"2067",-6.1,0.93,-5.09,0.82,1020.59,-2.37,16.09,9.9,"wknd","02",13450
"2068",-4.99,0.64,-5.65,0.78,1021.32,-2.41,16.09,6.5,"wknd","03",13178
"2069",-4.79,0.32,-5.87,0.78,1022.34,-2.53,16.09,5.71,"wknd","04",13195
"2070",-5.62,0.3,-6.82,0.76,1023.06,-3.24,15.69,5.76,"wknd","05",13432
"2071",-4.37,0.24,-7.68,0.78,1023.73,-4.37,15.69,3.33,"wknd","06",13845
"2072",-4.95,0.68,-8.46,0.76,1023.8,-4.95,16.09,4.25,"wknd","07",14700
"2073",-5.51,0.26,-8.89,0.77,1023.97,-5.51,16.09,2.41,"wknd","08",15434
"2074",-5.68,0.14,-8.9,0.78,1024.46,-5.68,16.09,2.56,"wknd","09",16038
"2075",-3.79,0.12,-7.76,0.74,1024.54,-3.79,16.09,1.54,"wknd","10",16008
"2076",-4.37,0.13,-6.96,0.71,1023.89,-2.45,16.09,5.04,"wknd","11",16082
"2077",-3.76,0.14,-6.6,0.7,1022.53,-1.79,16.09,5.31,"wknd","12",16058
"2078",-4.09,0.62,-6.27,0.69,1020.93,-1.39,16.09,7.26,"wknd","13",16181
"2079",-1.44,0.68,-5.83,0.72,1019.48,-1.44,16.09,4.54,"wknd","14",16149
"2080",-3.17,0.84,-5.86,0.72,1018.76,-1.47,16.09,4.86,"wknd","15",16286
"2081",-5.29,0.94,-5.68,0.75,1018.78,-1.77,13.89,9.56,"wknd","16",16887
"2082",-5.39,0.8,-4.89,0.82,1017.46,-2.18,11.2,8.34,"wknd","17",17404
"2083",-5.93,0.49,-4.47,0.86,1017.13,-2.4,8.11,9.21,"wknd","18",17041
"2084",-7.75,0.49,-4.43,0.9,1015.01,-3.02,1.5,13.33,"wknd","19",16505
"2085",-7.06,0.8,-5.41,0.89,1013.59,-3.89,2.49,7.37,"wknd","20",16219
"2086",-6.76,0.67,-5.43,0.88,1011.37,-3.77,13.21,6.97,"wknd","21",15870
"2087",-7.37,0.91,-4.59,0.92,1008.91,-3.47,1.69,9.75,"wknd","22",15333
"2088",-6.83,0.8,-4.72,0.91,1006.96,-3.53,1.67,7.9,"wknd","23",14571
"2089",-7.11,0.96,-4.89,0.92,1004.92,-3.74,1.71,7.98,"wkday","00",13882
"2090",-6.38,0.98,-5.22,0.91,1003.56,-3.9,2.12,5.78,"wkday","01",13263
"2091",-7.22,0.93,-5.56,0.91,1003.44,-4.34,1.9,6.49,"wkday","02",12928
"2092",-9.14,0.84,-6.37,0.89,1003.31,-4.86,5.33,10.14,"wkday","03",12822
"2093",-10.51,0.77,-7.32,0.86,1004.03,-5.32,14.53,13.08,"wkday","04",12756
"2094",-10.24,0.75,-7.54,0.85,1004.94,-5.37,16.09,11.84,"wkday","05",12877
"2095",-9.96,0.72,-7.96,0.83,1006.56,-5.55,16.09,10.11,"wkday","06",13339
"2096",-9.28,0.81,-7.82,0.83,1007.94,-5.33,16.09,8.84,"wkday","07",13889
"2097",-9.16,0.55,-7.52,0.81,1008.5,-4.81,16.09,10.4,"wkday","08",14417
"2098",-7.98,0.59,-7.68,0.75,1009.81,-3.98,15.43,9.8,"wkday","09",14902
"2099",-8.4,0.59,-8.67,0.7,1010.89,-4.06,9.62,10.88,"wkday","10",15034
"2100",-7.83,0.23,-8.72,0.67,1011.46,-3.52,9.75,11.18,"wkday","11",15018
"2101",-7.76,0.28,-8.78,0.66,1011.54,-3.25,10.69,12.17,"wkday","12",15016
"2102",-8.76,0.27,-9.97,0.61,1011.66,-3.57,13.42,14.82,"wkday","13",14987
"2103",-8.82,0.14,-10.58,0.59,1012.07,-3.82,16.09,13.7,"wkday","14",15050
"2104",-8.59,0.06,-11.02,0.58,1013.24,-4.09,16.09,11.43,"wkday","15",15167
"2105",-9.31,0.03,-11.43,0.59,1014.38,-4.76,16.09,11.14,"wkday","16",15917
"2106",-11.31,0.13,-10.47,0.69,1015.67,-5.73,13.89,14.32,"wkday","17",16519
"2107",-10.22,0.2,-11.58,0.65,1016.67,-6.12,16.09,8.87,"wkday","18",16140
"2108",-11.55,0.11,-13.83,0.57,1017.82,-6.81,16.09,10.38,"wkday","19",15887
"2109",-12.73,0.03,-12.89,0.66,1018.8,-7.73,16.09,10.65,"wkday","20",15795
"2110",-12.59,0.03,-13.56,0.66,1019.27,-8.42,16.09,7.98,"wkday","21",15589
"2111",-13.79,0.03,-14.36,0.65,1020.1,-8.94,16.09,9.51,"wkday","22",15102
"2112",-14.29,0.03,-15.14,0.65,1020.73,-9.74,16.09,8.32,"wkday","23",14441
"2113",-14.47,0.02,-15.49,0.65,1021.36,-10.12,16.09,7.71,"wkday","00",13963
"2114",-16.56,0.02,-15.57,0.67,1022.23,-10.73,16.09,11.31,"wkday","01",13600
"2115",-16.54,0,-16.27,0.66,1022.97,-11.16,16.09,9.77,"wkday","02",13397
"2116",-17.34,0,-16.65,0.66,1023.77,-11.67,16.09,10.3,"wkday","03",13360
"2117",-17.66,0,-17.22,0.65,1024.19,-11.97,16.09,10.17,"wkday","04",13440
"2118",-17.42,0,-17.2,0.69,1024.67,-12.71,16.09,7.52,"wkday","05",13770
"2119",-17.8,0,-17.41,0.69,1025.24,-12.95,16.09,7.72,"wkday","06",14315
"2120",-19.21,0.01,-17.51,0.7,1026.02,-13.28,16.09,10.12,"wkday","07",14950
"2121",-19.13,0.01,-18.01,0.69,1026.62,-13.58,16.09,9.04,"wkday","08",15312
"2122",-18.34,0.01,-17.76,0.67,1027.18,-12.93,16.09,9.01,"wkday","09",15708
"2123",-16.48,0.01,-17.38,0.65,1028.3,-12.16,16.09,6.92,"wkday","10",15825
"2124",-17.39,0.03,-17.36,0.61,1028.68,-11.29,16.09,11.8,"wkday","11",15804
"2125",-15.81,0.06,-17.11,0.59,1028.57,-10.67,16.09,9.4,"wkday","12",15719
"2126",-16.46,0.23,-17.12,0.57,1028.55,-10.22,16.09,13,"wkday","13",15606
"2127",-16.42,0.62,-17.47,0.56,1028.55,-10.51,16.09,11.73,"wkday","14",15706
"2128",-16.67,0.17,-17.83,0.57,1029.06,-11.04,16.09,10.53,"wkday","15",16171
"2129",-17.42,0.14,-18.24,0.58,1029.61,-11.58,16.09,10.83,"wkday","16",17114
"2130",-18.91,0.11,-18.29,0.61,1030.15,-12.37,16.09,12.46,"wkday","17",18278
"2131",-18.16,0.03,-18.03,0.66,1030.56,-12.99,16.09,8.42,"wkday","18",18271
"2132",-18.22,0.02,-18.42,0.67,1030.94,-13.59,16.09,7.08,"wkday","19",17947
"2133",-18.65,0,-19.01,0.64,1030.97,-13.68,16.09,7.71,"wkday","20",17697
"2134",-18.66,0.02,-19.01,0.64,1031.02,-13.66,16.09,7.79,"wkday","21",17208
"2135",-18.18,0.02,-18.99,0.65,1031.14,-13.94,16.09,6.26,"wkday","22",16524
"2136",-14.19,0,-19.08,0.66,1031.28,-14.19,16.09,4.67,"wkday","23",15549
"2137",-20.28,0,-18.89,0.69,1031.08,-14.48,16.09,9.25,"wkday","00",15097
"2138",-20.13,0,-19.11,0.69,1030.9,-14.68,16.09,8.38,"wkday","01",14750
"2139",-18.72,0,-18.91,0.68,1030.95,-14.41,16.09,6.26,"wkday","02",14680
"2140",-19.14,0,-18.69,0.69,1031.15,-14.26,15.72,7.35,"wkday","03",14594
"2141",-18.87,0.02,-18.98,0.69,1031.34,-14.62,15.72,6.1,"wkday","04",14797
"2142",-19.39,0.02,-18.98,0.7,1031.33,-14.77,15.72,6.71,"wkday","05",15268
"2143",-20.16,0.05,-19.37,0.69,1031.59,-14.99,16.09,7.66,"wkday","06",16172
"2144",-18.35,0.05,-18.97,0.71,1031.96,-14.86,16.09,4.91,"wkday","07",17061
"2145",-18.74,0.03,-18.57,0.71,1032.31,-14.42,16.09,6.28,"wkday","08",17616
"2146",-14.03,0.03,-18.63,0.68,1032.9,-14.03,16.09,4.7,"wkday","09",17829
"2147",-17.48,0.05,-17.53,0.66,1033.51,-12.57,16.09,8.01,"wkday","10",17724
"2148",-14.64,0.05,-17.29,0.61,1034.09,-11.32,16.09,5.38,"wkday","11",17679
"2149",-13.22,0.05,-16.22,0.61,1033.87,-10.12,16.09,5.28,"wkday","12",17573
"2150",-13.68,0.13,-15.94,0.6,1033.39,-9.74,16.09,6.94,"wkday","13",17528
"2151",-9.91,0.12,-16.34,0.59,1033.4,-9.91,16.09,4.67,"wkday","14",17588
"2152",-14.05,0.2,-16.94,0.58,1033.8,-10.2,16.09,6.6,"wkday","15",17943
"2153",-14.78,0.22,-17.86,0.6,1034.55,-11.6,16.09,5.09,"wkday","16",18694
"2154",-17.11,0.13,-18.95,0.59,1035.34,-12.59,16.09,7.15,"wkday","17",19869
"2155",-17.42,0.03,-19.53,0.6,1036.09,-13.54,16.09,5.75,"wkday","18",19769
"2156",-14.17,0.01,-19.84,0.62,1036.62,-14.17,16.09,4.23,"wkday","19",19627
"2157",-18.87,0.01,-20.18,0.61,1036.86,-14.33,16.09,6.68,"wkday","20",19414
"2158",-19.96,0.03,-21.15,0.6,1036.95,-15.21,16.09,6.81,"wkday","21",18878
"2159",-20.29,0.03,-21.26,0.64,1037.18,-16.03,16.09,5.76,"wkday","22",17787
"2160",-20.56,0.03,-21.43,0.66,1037.64,-16.67,16.09,5.12,"wkday","23",16613
"2161",-22.24,0.03,-22.09,0.67,1037.95,-17.44,16.09,6.29,"wkday","00",16103
"2162",-23.62,0.02,-23.07,0.65,1038.18,-18.2,16.09,7.13,"wkday","01",15713
"2163",-19.04,0.02,-24.37,0.63,1038.68,-19.04,16.09,4.1,"wkday","02",15599
"2164",-19.51,0.02,-24.72,0.63,1039.28,-19.51,16.09,4.2,"wkday","03",15509
"2165",-19.88,0.02,-25.02,0.63,1039.08,-19.88,16.09,4.44,"wkday","04",15672
"2166",-19.83,0.02,-24.84,0.64,1039.12,-19.83,16.09,4.68,"wkday","05",16100
"2167",-19.99,0.02,-24.96,0.64,1038.88,-19.99,16.09,3.75,"wkday","06",16942
"2168",-20.17,0,-24.96,0.65,1039.22,-20.17,16.09,3.44,"wkday","07",17847
"2169",-20.22,0.03,-24.68,0.67,1040.01,-20.22,16.09,4.49,"wkday","08",18346
"2170",-19.14,0.03,-23.79,0.66,1039.84,-19.14,16.09,4.35,"wkday","09",18536
"2171",-17.26,0.03,-22.54,0.63,1039.74,-17.26,16.09,4.35,"wkday","10",18676
"2172",-15.11,0.05,-21.14,0.6,1039.36,-15.11,16.09,4.63,"wkday","11",18554
"2173",-17.29,0.05,-19.77,0.59,1038.8,-13.51,16.09,5.62,"wkday","12",18259
"2174",-15.78,0.03,-19.47,0.56,1037.76,-12.54,16.09,4.99,"wkday","13",18130
"2175",-15.25,0.03,-19.46,0.54,1037.49,-12.07,16.09,4.99,"wkday","14",18127
"2176",-11.73,0.03,-19.21,0.54,1037.23,-11.73,16.09,3.67,"wkday","15",18338
"2177",-11.76,0.03,-19.03,0.55,1037.03,-11.76,16.09,2.17,"wkday","16",19149
"2178",-12.66,0.05,-19.39,0.57,1036.44,-12.66,16.09,2.04,"wkday","17",20008
"2179",-13.42,0.05,-19.61,0.59,1035.98,-13.42,16.09,2.56,"wkday","18",19697
"2180",-13.7,0.15,-19.61,0.61,1035.46,-13.7,16.09,2.86,"wkday","19",19593
"2181",-13.81,0.25,-19.42,0.62,1034.72,-13.81,16.09,2,"wkday","20",19478
"2182",-14.02,0.3,-19.62,0.62,1033.95,-14.02,16.09,3.09,"wkday","21",18930
"2183",-14.06,0.38,-19.68,0.62,1033.19,-14.06,16.09,2.06,"wkday","22",17883
"2184",-14.07,0.3,-19.83,0.62,1032.71,-14.07,16.09,2.88,"wkday","23",16733
"2185",-13.87,0.67,-19.37,0.63,1032.05,-13.87,16.09,3.2,"wkday","00",16038
"2186",-13.99,0.86,-19.66,0.62,1030.84,-13.99,16.09,2.96,"wkday","01",15584
"2187",-14.38,0.62,-19.96,0.62,1030.17,-14.38,16.09,2.62,"wkday","02",15405
"2188",-14.25,0.73,-19.78,0.63,1029.77,-14.25,16.09,3.14,"wkday","03",15277
"2189",-14.11,0.7,-19.84,0.62,1028.91,-14.11,16.09,3.46,"wkday","04",15375
"2190",-14.04,0.77,-19.76,0.62,1028,-14.04,16.09,3.98,"wkday","05",15739
"2191",-14.07,0.95,-18.76,0.67,1027.47,-14.07,16.09,3.43,"wkday","06",16476
"2192",-14.24,0.77,-18.65,0.69,1027.19,-14.24,13.9,3.81,"wkday","07",17431
"2193",-14.5,0.91,-18.48,0.72,1026.84,-14.5,4.91,4.25,"wkday","08",17937
"2194",-14.14,0.95,-17.79,0.74,1026.52,-14.14,4.01,3.98,"wkday","09",18316
"2195",-13.44,0.91,-17.22,0.73,1026.48,-13.44,5.52,3.15,"wkday","10",18487
"2196",-11.81,0.86,-15.03,0.77,1026.23,-11.81,5.79,3.22,"wkday","11",18386
"2197",-10.33,0.89,-13.57,0.77,1025.48,-10.33,9.88,3.52,"wkday","12",18088
"2198",-9.09,0.73,-12.34,0.77,1024.47,-9.09,12.78,2.98,"wkday","13",17866
"2199",-8.27,0.36,-11.96,0.75,1023.62,-8.27,12.6,3.56,"wkday","14",17807
"2200",-8.16,0.81,-11.41,0.77,1023.25,-8.16,4.41,4.59,"wkday","15",17933
"2201",-8.32,0.81,-11.23,0.79,1023.08,-8.32,5.6,3.07,"wkday","16",18694
"2202",-9.19,0.7,-12.32,0.78,1023.59,-9.19,13.36,3.38,"wkday","17",19784
"2203",-10.05,0.28,-13.06,0.79,1023.21,-10.05,15.1,2.56,"wkday","18",19520
"2204",-11.24,0.1,-14.32,0.78,1023.43,-11.24,15.76,3.4,"wkday","19",19202
"2205",-12.16,0.16,-14.8,0.81,1023.49,-12.16,16.09,2.74,"wkday","20",19001
"2206",-12.5,0.25,-15.24,0.8,1022.74,-12.5,16.09,3.35,"wkday","21",18450
"2207",-11.92,0.21,-14.96,0.78,1021.85,-11.92,16.09,3.85,"wkday","22",17483
"2208",-14.35,0.71,-14.48,0.78,1021.15,-11.37,16.09,4.83,"wkday","23",16467
"2209",-11.07,0.79,-14.09,0.78,1019.74,-11.07,15.79,3.8,"wknd","00",15902
"2210",-10.73,0.41,-13.89,0.77,1018.86,-10.73,16.09,3.3,"wknd","01",15390
"2211",-10.59,0.77,-13.96,0.76,1017.88,-10.59,16.09,4.01,"wknd","02",15153
"2212",-10.36,1,-13.69,0.76,1017.49,-10.36,16.08,3.8,"wknd","03",15038
"2213",-10.09,1,-13.02,0.79,1016.66,-10.09,15.13,4.22,"wknd","04",15023
"2214",-10.01,0.82,-12.41,0.83,1015.92,-10.01,15.02,4.73,"wknd","05",15254
"2215",-13.59,0.84,-12.6,0.81,1015.35,-10.02,15.35,6.13,"wknd","06",15545
"2216",-13.92,0.82,-12.94,0.8,1015.17,-10.09,15.27,6.61,"wknd","07",16103
"2217",-13.57,0.81,-13.26,0.77,1014.82,-10.04,16.09,6.05,"wknd","08",16658
"2218",-13.16,0.86,-13.08,0.78,1014.72,-10.04,16.09,5.31,"wknd","09",17363
"2219",-13.65,0.79,-12.92,0.75,1014.41,-9.35,16.09,7.89,"wknd","10",17876
"2220",-13.91,0.77,-12.57,0.73,1013.9,-8.53,14.84,11.35,"wknd","11",17767
"2221",-12.95,0.82,-12.21,0.71,1013.03,-7.79,16.09,11.07,"wknd","12",17527
"2222",-12.24,0.65,-12.09,0.67,1012.34,-7.08,16.09,11.59,"wknd","13",17433
"2223",-11.74,0.7,-11.92,0.68,1012.2,-6.93,15.1,10.51,"wknd","14",17129
"2224",-11.51,0.65,-11.43,0.72,1012.81,-7.26,8.55,8.71,"wknd","15",17135
"2225",-12.84,0.71,-12.59,0.7,1013.83,-8.13,13.45,9.53,"wknd","16",17939
"2226",-14.8,0.56,-14.13,0.69,1015.54,-9.44,16.09,10.67,"wknd","17",19140
"2227",-16.02,0.13,-16.04,0.66,1017.18,-10.89,16.09,9.27,"wknd","18",19275
"2228",-17.73,0.13,-17.09,0.68,1018.67,-12.33,16.09,9.22,"wknd","19",18900
"2229",-18.88,0.13,-18.21,0.68,1020.46,-13.63,16.09,8.34,"wknd","20",18616
"2230",-20.59,0.03,-19.25,0.69,1022.06,-14.83,16.09,9.01,"wknd","21",18047
"2231",-22.31,0,-20.28,0.7,1023.33,-16.06,16.09,9.62,"wknd","22",17275
"2232",-23.83,0,-21.08,0.69,1024.71,-16.77,16.09,11.28,"wknd","23",16594
"2233",-24.63,0,-21.74,0.7,1025.8,-17.61,16.09,10.75,"wknd","00",16068
"2234",-25.24,0,-22.42,0.7,1026.22,-18.27,16.09,10.28,"wknd","01",15642
"2235",-25.38,0,-22.81,0.7,1027.22,-18.72,16.09,9.4,"wknd","02",15425
"2236",-25.97,0,-23.16,0.7,1028.15,-19.15,16.09,9.56,"wknd","03",15292
"2237",-25.45,0,-23.51,0.7,1028.69,-19.52,16.09,7.66,"wknd","04",15400
"2238",-24.6,0,-23.69,0.71,1028.96,-19.87,16.09,5.65,"wknd","05",15588
"2239",-20.22,0,-23.78,0.73,1029.37,-20.22,16.09,3.98,"wknd","06",15897
"2240",-25.28,0.03,-24.14,0.72,1029.79,-20.38,16.09,5.78,"wknd","07",16666
"2241",-26.57,0.03,-24.42,0.71,1030.4,-20.58,16.09,7.44,"wknd","08",17261
"2242",-26.36,0.02,-23.59,0.71,1030.98,-19.74,16.09,8.92,"wknd","09",17561
"2243",-24.07,0.05,-22.92,0.67,1031.37,-18.39,16.09,7.53,"wknd","10",17679
"2244",-22.17,0.1,-21.89,0.64,1031.35,-16.73,16.09,7.63,"wknd","11",17817
"2245",-20.19,0.06,-21.05,0.62,1030.81,-15.41,16.09,6.82,"wknd","12",17702
"2246",-19.89,0.05,-20.93,0.59,1030.07,-14.64,16.09,7.95,"wknd","13",17506
"2247",-18.89,0.03,-20.65,0.58,1030.22,-14.12,16.09,7.18,"wknd","14",17500
"2248",-17.77,0.03,-20.53,0.56,1030.24,-13.64,16.09,6.13,"wknd","15",17770
"2249",-17.53,0.03,-20.39,0.58,1030.64,-13.86,16.09,5.36,"wknd","16",18590
"2250",-14.44,0.03,-20.41,0.6,1030.69,-14.44,16.09,3.43,"wknd","17",19829
"2251",-15.18,0.03,-20.65,0.63,1030.85,-15.18,16.09,2.29,"wknd","18",19484
"2252",-16.24,0.11,-20.56,0.69,1031,-16.24,16.09,1.74,"wknd","19",18706
"2253",-16.16,0.01,-20.62,0.68,1031.04,-16.16,16.09,3.56,"wknd","20",18284
"2254",-16.97,0,-21.01,0.71,1030.92,-16.97,16.09,2.77,"wknd","21",17772
"2255",-17.21,0,-21.21,0.71,1031.08,-17.21,16.09,3.28,"wknd","22",17228
"2256",-17.54,0,-20.99,0.74,1031.4,-17.54,16.09,3.94,"wknd","23",16842
